brand_name,generic_name,manufacturer_name,product_type,active_ingredients,route,substance_name,application_number
,,,,[],,,NDA000159
,,,,[],,,ANDA076184
,,,,[],,,ANDA076204
,,,,[],,,ANDA076208
,,,,[],,,ANDA076240
,,,,[],,,ANDA076255
,,,,[],,,NDA017391
,,,,[],,,ANDA076260
,,,,[],,,ANDA076262
,,,,[],,,NDA017398
,,,,[],,,ANDA076281
,,,,[],,,ANDA076285
,,,,[],,,ANDA076286
,,,,[],,,ANDA076294
,,,,[],,,ANDA076298
,,,,[],,,ANDA076303
,,,,[],,,ANDA076310
,,,,[],,,ANDA076332
,,,,[],,,ANDA076345
,,,,[],,,ANDA076352
,,,,[],,,ANDA076362
,,,,[],,,NDA017421
,,,,[],,,ANDA076388
,,,,[],,,ANDA076405
,,,,[],,,ANDA076411
,,,,[],,,ANDA076416
,,,,[],,,ANDA076434
,,,,[],,,ANDA076444
,,,,[],,,ANDA076451
,,,,[],,,ANDA076455
,,,,[],,,ANDA076461
,,,,[],,,ANDA076463
,,,,[],,,ANDA076470
,,,,[],,,ANDA076496
,,,,[],,,ANDA076497
,,,,[],,,ANDA076509
,,,,[],,,ANDA076512
,,,,[],,,ANDA076523
,,,,[],,,ANDA076527
,,,,[],,,ANDA076540
,,,,[],,,ANDA076546
,,,,[],,,ANDA076555
,,,,[],,,ANDA076576
,,,,[],,,ANDA076578
,,,,[],,,ANDA076607
,,,,[],,,ANDA076611
,,,,[],,,ANDA076612
,,,,[],,,ANDA076656
,,,,[],,,ANDA076671
,,,,[],,,ANDA076672
,,,,[],,,ANDA076675
,,,,[],,,ANDA076677
,,,,[],,,NDA017456
,,,,[],,,ANDA076683
,,,,[],,,ANDA076686
,,,,[],,,ANDA076702
,,,,[],,,ANDA076724
,,,,[],,,ANDA076745
,,,,[],,,ANDA076752
,,,,[],,,ANDA076754
,,,,[],,,ANDA076757
,,,,[],,,ANDA076789
,,,,[],,,NDA017478
,,,,[],,,ANDA076797
,,,,[],,,ANDA076810
,,,,[],,,ANDA076815
,,,,[],,,ANDA076823
,,,,[],,,ANDA076832
,,,,[],,,ANDA076834
,,,,[],,,ANDA076847
,,,,[],,,ANDA076850
,,,,[],,,ANDA076856
,,,,[],,,ANDA076879
,,,,[],,,ANDA076886
,,,,[],,,ANDA076888
,,,,[],,,NDA006921
,,,,[],,,NDA017497
,,,,[],,,ANDA076899
,,,,[],,,ANDA076900
,,,,[],,,ANDA076915
,,,,[],,,ANDA076931
,,,,[],,,NDA017508
,,,,[],,,ANDA076943
,,,,[],,,NDA017512
,,,,[],,,ANDA076978
,,,,[],,,ANDA076985
,,,,[],,,ANDA077026
,,,,[],,,NDA017522
,,,,[],,,ANDA077062
,,,,[],,,ANDA077069
,,,,[],,,ANDA077071
,,,,[],,,ANDA077075
,,,,[],,,ANDA077081
,,,,[],,,ANDA077123
,,,,[],,,ANDA077132
,,,,[],,,ANDA077151
,,,,[],,,ANDA077165
,,,,[],,,ANDA077168
,,,,[],,,ANDA077173
,,,,[],,,ANDA077187
,,,,[],,,ANDA077190
,,,,[],,,ANDA077201
,,,,[],,,ANDA077213
,,,,[],,,ANDA077222
,,,,[],,,ANDA077224
,,,,[],,,ANDA077242
,,,,[],,,ANDA077243
,,,,[],,,ANDA077244
,,,,[],,,ANDA077259
,,,,[],,,ANDA077275
,,,,[],,,ANDA077287
,,,,[],,,ANDA077297
,,,,[],,,ANDA077301
,,,,[],,,NDA017556
,,,,[],,,ANDA077332
,,,,[],,,ANDA077336
,,,,[],,,NDA017559
,,,,[],,,ANDA077343
,,,,[],,,ANDA077349
,,,,[],,,ANDA077363
,,,,[],,,ANDA077368
,,,,[],,,ANDA077404
,,,,[],,,ANDA077413
,,,,[],,,NDA017566
,,,,[],,,NDA017571
,,,,[],,,ANDA077461
,,,,[],,,ANDA077491
,,,,[],,,ANDA077492
,,,,[],,,ANDA077499
,,,,[],,,NDA017577
,,,,[],,,ANDA077528
,,,,[],,,ANDA077541
,,,,[],,,ANDA077542
,,,,[],,,ANDA077553
,,,,[],,,ANDA077557
,,,,[],,,ANDA077562
,,,,[],,,ANDA077565
,,,,[],,,ANDA077589
,,,,[],,,ANDA077601
,,,,[],,,ANDA077602
,,,,[],,,ANDA077606
,,,,[],,,ANDA077610
,,,,[],,,ANDA077612
,,,,[],,,ANDA077623
,,,,[],,,ANDA077633
,,,,[],,,ANDA077634
,,,,[],,,ANDA077642
,,,,[],,,ANDA077652
,,,,[],,,ANDA077663
,,,,[],,,ANDA077673
,,,,[],,,ANDA077698
,,,,[],,,ANDA077707
,,,,[],,,ANDA077722
,,,,[],,,ANDA077753
,,,,[],,,ANDA077769
,,,,[],,,ANDA077789
,,,,[],,,ANDA077805
,,,,[],,,ANDA077812
,,,,[],,,ANDA077813
,,,,[],,,NDA017628
,,,,[],,,ANDA077842
,,,,[],,,ANDA077845
,,,,[],,,ANDA077847
,,,,[],,,ANDA077850
,,,,[],,,ANDA077851
,,,,[],,,ANDA077878
,,,,[],,,ANDA077885
,,,,[],,,ANDA077894
,,,,[],,,ANDA077895
,,,,[],,,ANDA077963
,,,,[],,,ANDA077965
,,,,[],,,ANDA077968
,,,,[],,,ANDA077983
,,,,[],,,ANDA077990
,,,,[],,,ANDA078002
,,,,[],,,ANDA078015
,,,,[],,,ANDA078056
,,,,[],,,ANDA078057
,,,,[],,,ANDA078080
,,,,[],,,NDA017667
,,,,[],,,ANDA078102
,,,,[],,,ANDA078148
,,,,[],,,ANDA078173
,,,,[],,,ANDA078182
,,,,[],,,ANDA078187
,,,,[],,,ANDA078225
,,,,[],,,ANDA078226
,,,,[],,,ANDA078247
,,,,[],,,ANDA078262
,,,,[],,,ANDA078273
,,,,[],,,ANDA078287
,,,,[],,,ANDA078299
,,,,[],,,ANDA078312
,,,,[],,,ANDA078324
,,,,[],,,NDA017698
,,,,[],,,ANDA078334
,,,,[],,,ANDA078353
,,,,[],,,ANDA078369
,,,,[],,,ANDA078374
,,,,[],,,ANDA078379
,,,,[],,,ANDA078389
,,,,[],,,ANDA078404
,,,,[],,,ANDA078413
,,,,[],,,ANDA078414
,,,,[],,,ANDA078438
,,,,[],,,ANDA078446
,,,,[],,,ANDA078458
,,,,[],,,ANDA078459
,,,,[],,,ANDA078460
,,,,[],,,ANDA078467
,,,,[],,,ANDA078470
,,,,[],,,ANDA078512
,,,,[],,,ANDA078526
,,,,[],,,ANDA078533
,,,,[],,,ANDA078539
,,,,[],,,ANDA078541
,,,,[],,,ANDA078548
,,,,[],,,ANDA078573
,,,,[],,,NDA017756
,,,,[],,,ANDA078576
,,,,[],,,ANDA078581
,,,,[],,,ANDA078587
,,,,[],,,ANDA078626
,,,,[],,,ANDA078627
,,,,[],,,ANDA078637
,,,,[],,,ANDA078641
,,,,[],,,ANDA078643
,,,,[],,,ANDA078645
,,,,[],,,ANDA078669
,,,,[],,,ANDA078691
,,,,[],,,ANDA078702
,,,,[],,,ANDA078704
,,,,[],,,ANDA078710
,,,,[],,,ANDA078718
,,,,[],,,ANDA078720
,,,,[],,,ANDA078724
,,,,[],,,ANDA078751
,,,,[],,,ANDA078761
,,,,[],,,ANDA078777
,,,,[],,,ANDA078782
,,,,[],,,ANDA078787
,,,,[],,,ANDA078801
,,,,[],,,ANDA078812
,,,,[],,,NDA017806
,,,,[],,,ANDA078835
,,,,[],,,ANDA078837
,,,,[],,,ANDA078850
,,,,[],,,NDA017808
,,,,[],,,ANDA078858
,,,,[],,,ANDA078866
,,,,[],,,ANDA078872
,,,,[],,,ANDA078883
,,,,[],,,ANDA078905
,,,,[],,,ANDA078940
,,,,[],,,ANDA078944
,,,,[],,,ANDA078957
,,,,[],,,ANDA078959
,,,,[],,,NDA017824
,,,,[],,,ANDA078976
,,,,[],,,ANDA078988
,,,,[],,,ANDA078990
,,,,[],,,ANDA078993
,,,,[],,,ANDA079042
,,,,[],,,ANDA079054
,,,,[],,,ANDA079059
,,,,[],,,ANDA079062
,,,,[],,,ANDA079065
,,,,[],,,ANDA079090
,,,,[],,,ANDA079106
,,,,[],,,ANDA079135
,,,,[],,,ANDA079159
,,,,[],,,ANDA079168
,,,,[],,,ANDA079213
,,,,[],,,ANDA079217
,,,,[],,,ANDA079218
,,,,[],,,ANDA079221
,,,,[],,,ANDA080003
,,,,[],,,ANDA080024
,,,,[],,,ANDA080027
,,,,[],,,ANDA080036
,,,,[],,,ANDA080043
,,,,[],,,ANDA080059
,,,,[],,,ANDA080085
,,,,[],,,ANDA080088
,,,,[],,,NDA017871
,,,,[],,,ANDA080120
,,,,[],,,ANDA080136
,,,,[],,,NDA017874
,,,,[],,,ANDA080172
,,,,[],,,ANDA080189
,,,,[],,,ANDA080195
,,,,[],,,ANDA080209
,,,,[],,,ANDA080210
,,,,[],,,ANDA080236
,,,,[],,,ANDA080254
,,,,[],,,ANDA080280
,,,,[],,,ANDA080300
,,,,[],,,ANDA080301
,,,,[],,,ANDA080310
,,,,[],,,NDA017902
,,,,[],,,ANDA080364
,,,,[],,,ANDA080384
,,,,[],,,ANDA080385
,,,,[],,,ANDA080390
,,,,[],,,NDA017911
,,,,[],,,ANDA080420
,,,,[],,,ANDA080445
,,,,[],,,NDA017917
,,,,[],,,ANDA080455
,,,,[],,,ANDA080481
,,,,[],,,ANDA080489
,,,,[],,,ANDA080498
,,,,[],,,NDA007600
,,,,[],,,ANDA080530
,,,,[],,,ANDA080563
,,,,[],,,ANDA080564
,,,,[],,,ANDA080577
,,,,[],,,ANDA080713
,,,,[],,,ANDA080718
,,,,[],,,ANDA080759
,,,,[],,,ANDA080762
,,,,[],,,ANDA080800
,,,,[],,,ANDA080841
,,,,[],,,ANDA080931
,,,,[],,,ANDA080963
,,,,[],,,ANDA080967
,,,,[],,,ANDA080992
,,,,[],,,ANDA081002
,,,,[],,,ANDA081008
,,,,[],,,ANDA081029
,,,,[],,,ANDA081031
,,,,[],,,ANDA081070
,,,,[],,,ANDA081118
,,,,[],,,NDA017982
,,,,[],,,ANDA081224
,,,,[],,,ANDA081242
,,,,[],,,ANDA081249
,,,,[],,,ANDA083017
,,,,[],,,ANDA083027
,,,,[],,,ANDA083032
,,,,[],,,ANDA083059
,,,,[],,,ANDA083128
,,,,[],,,ANDA083154
,,,,[],,,ANDA083214
,,,,[],,,NDA018013
,,,,[],,,ANDA083220
,,,,[],,,ANDA083244
,,,,[],,,ANDA083254
,,,,[],,,ANDA083264
,,,,[],,,NDA018021
,,,,[],,,NDA018025
,,,,[],,,ANDA083457
,,,,[],,,ANDA083570
,,,,[],,,ANDA083603
,,,,[],,,ANDA083676
,,,,[],,,ANDA083772
,,,,[],,,ANDA083775
,,,,[],,,ANDA083807
,,,,[],,,NDA018058
,,,,[],,,ANDA083919
,,,,[],,,ANDA083943
,,,,[],,,ANDA083944
,,,,[],,,ANDA083953
,,,,[],,,ANDA083976
,,,,[],,,ANDA083981
,,,,[],,,ANDA083989
,,,,[],,,ANDA084003
,,,,[],,,ANDA084050
,,,,[],,,ANDA084075
,,,,[],,,ANDA084110
,,,,[],,,ANDA084135
,,,,[],,,ANDA084148
,,,,[],,,ANDA084151
,,,,[],,,ANDA084156
,,,,[],,,ANDA084172
,,,,[],,,ANDA084177
,,,,[],,,NDA018080
,,,,[],,,ANDA084220
,,,,[],,,ANDA084237
,,,,[],,,ANDA084279
,,,,[],,,ANDA084303
,,,,[],,,ANDA084341
,,,,[],,,ANDA084357
,,,,[],,,NDA018090
,,,,[],,,ANDA084384
,,,,[],,,ANDA084406
,,,,[],,,ANDA084437
,,,,[],,,ANDA084466
,,,,[],,,ANDA084467
,,,,[],,,ANDA084468
,,,,[],,,ANDA084499
,,,,[],,,ANDA084504
,,,,[],,,ANDA084506
,,,,[],,,NDA018110
,,,,[],,,ANDA084568
,,,,[],,,ANDA084573
,,,,[],,,ANDA084674
,,,,[],,,ANDA084676
,,,,[],,,ANDA084677
,,,,[],,,NDA018128
,,,,[],,,ANDA084705
,,,,[],,,ANDA084720
,,,,[],,,ANDA084726
,,,,[],,,ANDA084727
,,,,[],,,NDA018140
,,,,[],,,ANDA084744
,,,,[],,,ANDA084756
,,,,[],,,ANDA084766
,,,,[],,,ANDA084771
,,,,[],,,ANDA084774
,,,,[],,,ANDA084863
,,,,[],,,ANDA084880
,,,,[],,,ANDA084915
,,,,[],,,ANDA084932
,,,,[],,,ANDA084950
,,,,[],,,ANDA084955
,,,,[],,,NDA018155
,,,,[],,,ANDA084967
,,,,[],,,ANDA084977
,,,,[],,,ANDA084999
,,,,[],,,ANDA085000
,,,,[],,,ANDA085003
,,,,[],,,ANDA085008
,,,,[],,,ANDA085017
,,,,[],,,ANDA085022
,,,,[],,,ANDA085028
,,,,[],,,ANDA085038
,,,,[],,,ANDA085084
,,,,[],,,ANDA085098
,,,,[],,,ANDA085113
,,,,[],,,ANDA085120
,,,,[],,,ANDA085136
,,,,[],,,ANDA085137
,,,,[],,,ANDA085150
,,,,[],,,ANDA085208
,,,,[],,,ANDA085222
,,,,[],,,NDA018186
,,,,[],,,ANDA085223
,,,,[],,,ANDA085237
,,,,[],,,NDA018191
,,,,[],,,ANDA085247
,,,,[],,,ANDA085248
,,,,[],,,ANDA085252
,,,,[],,,ANDA085266
,,,,[],,,ANDA085269
,,,,[],,,ANDA085284
,,,,[],,,ANDA085302
,,,,[],,,ANDA085338
,,,,[],,,ANDA085355
,,,,[],,,ANDA085363
,,,,[],,,ANDA085374
,,,,[],,,ANDA085381
,,,,[],,,ANDA085410
,,,,[],,,ANDA085517
,,,,[],,,ANDA085518
,,,,[],,,ANDA085519
,,,,[],,,ANDA085552
,,,,[],,,ANDA085580
,,,,[],,,ANDA085591
,,,,[],,,ANDA085597
,,,,[],,,ANDA085639
,,,,[],,,ANDA085650
,,,,[],,,ANDA085691
,,,,[],,,ANDA085735
,,,,[],,,ANDA085740
,,,,[],,,ANDA085744
,,,,[],,,ANDA085749
,,,,[],,,NDA018245
,,,,[],,,ANDA085779
,,,,[],,,ANDA085790
,,,,[],,,ANDA085825
,,,,[],,,ANDA085827
,,,,[],,,ANDA085840
,,,,[],,,ANDA085855
,,,,[],,,ANDA085860
,,,,[],,,ANDA085870
,,,,[],,,ANDA085895
,,,,[],,,ANDA085910
,,,,[],,,ANDA085937
,,,,[],,,ANDA085941
,,,,[],,,ANDA085957
,,,,[],,,ANDA085959
,,,,[],,,ANDA085960
,,,,[],,,ANDA085961
,,,,[],,,ANDA085962
,,,,[],,,ANDA085968
,,,,[],,,ANDA085979
,,,,[],,,ANDA085999
,,,,[],,,NDA018268
,,,,[],,,ANDA086047
,,,,[],,,ANDA086055
,,,,[],,,ANDA086144
,,,,[],,,ANDA086154
,,,,[],,,ANDA086187
,,,,[],,,ANDA086221
,,,,[],,,ANDA086237
,,,,[],,,ANDA086263
,,,,[],,,NDA018290
,,,,[],,,ANDA086277
,,,,[],,,ANDA086306
,,,,[],,,ANDA086335
,,,,[],,,ANDA086359
,,,,[],,,ANDA086366
,,,,[],,,NDA018303
,,,,[],,,ANDA086417
,,,,[],,,ANDA086429
,,,,[],,,ANDA086557
,,,,[],,,ANDA086578
,,,,[],,,ANDA086596
,,,,[],,,NDA018315
,,,,[],,,NDA018321
,,,,[],,,ANDA086760
,,,,[],,,ANDA086827
,,,,[],,,ANDA086834
,,,,[],,,ANDA086836
,,,,[],,,ANDA086880
,,,,[],,,ANDA086947
,,,,[],,,ANDA086986
,,,,[],,,ANDA086988
,,,,[],,,ANDA087011
,,,,[],,,ANDA087022
,,,,[],,,NDA018362
,,,,[],,,ANDA087102
,,,,[],,,ANDA087111
,,,,[],,,ANDA087147
,,,,[],,,ANDA087159
,,,,[],,,ANDA087186
,,,,[],,,ANDA087204
,,,,[],,,ANDA087216
,,,,[],,,ANDA087226
,,,,[],,,ANDA087233
,,,,[],,,ANDA087265
,,,,[],,,ANDA087266
,,,,[],,,ANDA087294
,,,,[],,,ANDA087371
,,,,[],,,ANDA087377
,,,,[],,,ANDA087405
,,,,[],,,ANDA087438
,,,,[],,,ANDA087442
,,,,[],,,ANDA087457
,,,,[],,,ANDA087473
,,,,[],,,ANDA087510
,,,,[],,,ANDA087515
,,,,[],,,ANDA087516
,,,,[],,,ANDA087543
,,,,[],,,ANDA087566
,,,,[],,,ANDA087584
,,,,[],,,ANDA087587
,,,,[],,,ANDA087596
,,,,[],,,ANDA087601
,,,,[],,,ANDA087604
,,,,[],,,ANDA087613
,,,,[],,,NDA018421
,,,,[],,,ANDA087634
,,,,[],,,ANDA087651
,,,,[],,,ANDA087658
,,,,[],,,ANDA087660
,,,,[],,,ANDA087671
,,,,[],,,ANDA087724
,,,,[],,,ANDA087744
,,,,[],,,ANDA087750
,,,,[],,,ANDA087783
,,,,[],,,ANDA087786
